state,Preliminary.Turnout.Rate,voted_turnout_self_nona,state_abb
Alabama,37.7,66.52587117212249,AL
Alaska,50.8,69.56521739130434,AK
Arizona,49.4,79.7676008202324,AZ
Arkansas,41.9,60.07462686567165,AR
California,43.5,75.90863952333665,CA
Colorado,58.5,79.73609802073516,CO
Connecticut,48.9,75.38940809968847,CT
Delaware,43.2,77.08333333333334,DE
Florida,49.4,75.60130010834236,FL
Georgia,52.6,70.32967032967034,GA
Hawaii,41.1,78.06122448979592,HI
Idaho,42.2,73.92638036809815,ID
Illinois,46.4,75.04363001745202,IL
Indiana,37.4,74.87787857641311,IN
Iowa,52.3,79.74683544303798,IA
Kansas,47.9,73.61702127659574,KS
Kentucky,44.9,72.50996015936255,KY
Louisiana,42.2,68.00618238021639,LA
Maine,61.5,80.05698005698005,ME
Maryland,46.2,74.49428320140721,MD
Massachusetts,49.4,78.17883511074652,MA
Michigan,59.3,79.45557267591165,MI
Minnesota,61,82.42303872889771,MN
Mississippi,32.9,61.038961038961034,MS
Missouri,44.9,76.19392185238785,MO
Montana,53.6,82.6086956521739,MT
Nebraska,48.7,70.65527065527066,NE
Nevada,46.3,75.56179775280899,NV
New Hampshire,56.3,84.65753424657534,NH
New Jersey,41.5,79.14438502673798,NJ
New Mexico,46.7,83.7465564738292,NM
New York,43.5,72.65856950067476,NY
North Carolina,48.1,74.37722419928826,NC
North Dakota,42.9,70.70063694267516,ND
Ohio,47.4,75.26923076923076,OH
Oklahoma,40.1,62.39015817223199,OK
Oregon,62.4,81.76795580110497,OR
Pennsylvania,54.7,77.89440203562341,PA
Rhode Island,43.9,75.1269035532995,RI
South Carolina,43.4,70.36346691519105,SC
South Dakota,54.2,77.77777777777779,SD
Tennessee,31.3,71.42857142857143,TN
Texas,42.5,68.69762174405436,TX
Utah,46.9,72.88801571709233,UT
Vermont,55.9,82.66666666666667,VT
Virginia,48.1,78.6732456140351,VA
Washington,55.9,75.69141193595343,WA
West Virginia,35.7,73.87387387387388,WV
Wisconsin,60.1,77.79578606158833,WI
Wyoming,45.7,74.73684210526315,WY
